trial,x,y,B,density,num_digits,x_support_size,y_support_size,raw_support_size,diagonal_nonzero_density,diagonal_geometric_density,diagonal_nonzero_density_max,diagonal_geometric_density_max,diagonal_nonzero_density_total,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
0,6805016150,3087643007,10,0.7,10,7,7,18,"[0, 1, 1, 1, 2, 2, 4, 4, 5, 5, 4, 4, 4, 4, 2, 3, 1, 1, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",5,10,49,1216,143,3.88360496239099,0.11759868421052631,128,18,19,3.8784140319727536,0.10526315789473684,18,23741318135782241300,1.129922315684139
1,3409497067,7259960230,10,0.7,10,8,8,18,"[0, 1, 2, 1, 2, 4, 4, 5, 5, 6, 7, 5, 5, 5, 4, 3, 2, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",7,10,64,2107,265,3.794834140982915,0.12577123872804935,227,18,19,3.7685457768908033,0.10773611770289511,18,23434134180974613200,0.9467260984095642
2,9306268001,4100908050,10,0.7,10,7,5,17,"[0, 1, 0, 1, 1, 2, 2, 2, 3, 4, 2, 3, 3, 3, 3, 1, 1, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",4,10,35,945,121,3.7318487276743424,0.12804232804232804,96,14,19,3.639546729542614,0.10158730158730159,12,32040719839874400000,0.8395502160155512
3,2346862003,2186261670,10,0.7,10,8,9,18,"[0, 1, 1, 1, 2, 3, 4, 5, 6, 7, 7, 7, 7, 6, 5, 4, 3, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",7,10,72,1326,149,3.7342843057048345,0.11236802413273002,140,16,18,3.6976056703652,0.10558069381598793,14,1369367653516302200,0.2668888133569786
4,7662495335,6200030067,10,0.7,10,10,5,19,"[1, 2, 2, 2, 3, 3, 3, 3, 4, 5, 4, 3, 3, 3, 2, 2, 2, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",5,10,50,1200,133,4.098673583532098,0.11083333333333334,124,19,19,4.078426476160429,0.10333333333333333,19,45523975952761154530,0.9582441277665851
5,2348041037,9950807719,10,0.7,10,8,8,19,"[1, 2, 2, 3, 3, 3, 4, 4, 6, 7, 5, 5, 4, 3, 3, 3, 3, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",7,10,64,1760,227,4.056975093615744,0.12897727272727272,186,19,19,4.061358692940696,0.10568181818181818,19,25942214259337685460,1.1103068639723381
6,9007609932,9006630307,10,0.7,10,7,6,17,"[1, 1, 2, 2, 2, 4, 4, 4, 3, 4, 3, 4, 2, 1, 2, 2, 0, 0, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",4,10,42,1530,186,3.8719597774316803,0.12156862745098039,162,18,19,3.9045738851622156,0.10588235294117647,17,80231560175319477210,0.9889477112455635
7,8010028008,7400008018,10,0.7,10,5,5,17,"[1, 1, 0, 2, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 0, 1, 1, 1, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",3,10,25,756,128,3.488781569135223,0.1693121693121693,74,14,19,3.445285198776923,0.09788359788359788,8,53000333323360420160,0.8941541076218956
8,1105027140,6001505950,10,0.7,10,7,6,16,"[0, 0, 1, 2, 3, 3, 3, 4, 3, 4, 4, 4, 3, 2, 2, 2, 0, 1, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",4,10,42,651,81,3.7043402541348733,0.12442396313364056,64,13,16,3.576662751096862,0.09831029185867896,12,30254458588642000,0.004562009653010735
9,8883887348,5167380448,10,0.7,10,10,9,19,"[1, 2, 3, 3, 4, 5, 6, 7, 8, 9, 8, 7, 6, 6, 5, 4, 3, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",9,10,90,2990,327,4.047754711306091,0.10936454849498328,321,19,19,4.038259015096035,0.10735785953177257,19,46261547979810797760,1.0077357840314058
