B,num_digits,density,trial,x,y,x_support_size,y_support_size,raw_support_size,final_support_size,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
2,8,0.2,0,131,162,3,3,8,8,3,3,8,2,11,0.375,0.42857142857142855,7,6,9,2,2.94770277922009,0.2222222222222222,1,1,9,-0.0,0.1111111111111111,1,512,0.024125907077561022
2,8,0.2,1,168,136,3,2,5,5,3,2,5,2,8,0.6,0.4,4,4,6,2,2.2516291673878226,0.3333333333333333,1,1,11,-0.0,0.16666666666666666,1,2048,0.0896358543417367
2,8,0.2,2,128,128,1,1,1,1,1,1,1,1,1,1.0,1.0,0,0,1,1,-0.0,1.0,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,3,132,128,2,1,2,2,2,1,2,1,2,0.3333333333333333,1.0,5,0,2,1,1.0,0.5,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,4,160,130,2,2,4,4,2,2,4,1,4,0.6666666666666666,0.2857142857142857,2,6,4,1,2.0,0.25,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,5,136,132,2,2,4,4,2,2,4,1,4,0.4,0.3333333333333333,4,5,4,1,2.0,0.25,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,6,128,224,1,3,3,3,1,3,3,1,3,1.0,1.0,0,2,3,1,1.584962500721156,0.3333333333333333,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,7,140,130,3,2,6,6,3,2,6,1,6,0.5,0.2857142857142857,5,6,6,1,2.584962500721156,0.16666666666666666,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,8,144,130,2,2,4,4,2,2,4,1,4,0.5,0.2857142857142857,3,6,4,1,2.0,0.25,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,9,136,194,2,3,6,6,2,3,6,1,6,0.4,0.42857142857142855,4,6,6,1,2.584962500721156,0.16666666666666666,0,0,-1,0.0,0.0,0,0,0.0
2,8,0.2,10,133,201,3,4,11,8,3,4,11,2,14,0.375,0.5,7,7,12,2,3.4182958340544896,0.16666666666666666,4,4,11,2.0,0.3333333333333333,4,3840,0.14364268881158118
2,8,0.2,11,130,200,2,3,6,6,2,3,6,1,6,0.2857142857142857,0.6,6,4,6,1,2.584962500721156,0.16666666666666666,0,0,-1,0.0,0.0,0,0,0.0
