trial,x,y,B,density,num_digits,raw_support_size,representation_counts,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
0,2000000000,7900000050,10,0.2,10,3,"{10: 1, 17: 1, 18: 1}",1,3,3,1,3,1.0,0.3333333333333333,0,8,42,18,1.5451531398349103,0.42857142857142855,3,3,19,1.584962500721156,0.07142857142857142,2,11000000100000000000,0.6962025335683384
1,5060006008,2000000000,10,0.2,10,4,"{9: 1, 12: 1, 16: 1, 18: 1}",4,1,4,1,4,0.4,1.0,9,0,50,16,1.9786885704510973,0.32,4,4,19,2.0,0.08,1,10100010010000000000,0.9980235195404534
2,8000099009,5000090000,10,0.2,10,7,"{4: 1, 7: 1, 8: 1, 9: 1, 12: 1, 13: 2, 18: 1}",4,2,7,2,10,0.4,0.3333333333333333,9,5,490,117,2.708964213783413,0.23877551020408164,50,8,19,2.791272380112911,0.10204081632653061,3,40002240058800800000,1.0000256243438759
3,5000000000,2000000006,10,0.2,10,2,"{9: 1, 18: 1}",1,2,2,1,2,1.0,0.2,0,9,40,30,0.8112781244591328,0.75,4,2,19,0.8112781244591328,0.1,1,10000000030000000000,1.0
4,6000068000,6090030200,10,0.2,10,10,"{5: 1, 6: 1, 7: 1, 8: 1, 10: 1, 11: 2, 12: 1, 13: 2, 16: 1, 18: 1}",3,4,10,2,16,0.42857142857142855,0.5,6,7,400,72,3.116343033890672,0.18,38,10,19,3.0666965178046284,0.095,4,30500557702211000000,0.8347033602871485
5,5000060505,4000000000,10,0.2,10,4,"{9: 1, 11: 1, 13: 1, 18: 1}",4,1,4,1,4,0.4,1.0,9,0,84,24,1.995236640510314,0.2857142857142857,8,4,19,2.0,0.09523809523809523,1,20000202020000000000,0.9999980000242017
6,1200000000,9001000087,10,0.2,10,7,"{8: 1, 9: 2, 10: 1, 14: 1, 15: 1, 17: 1, 18: 1}",2,4,7,2,10,1.0,0.4,1,9,75,23,2.4030471046684116,0.30666666666666664,6,5,19,2.2516291673878226,0.08,3,11000000121000000000,1.018405363726112
7,3500080000,2060000606,10,0.2,10,11,"{4: 1, 6: 1, 8: 1, 9: 1, 10: 1, 11: 2, 13: 1, 15: 1, 16: 1, 17: 1, 18: 1}",3,4,11,2,14,0.5,0.4,5,9,320,66,3.1983252150224266,0.20625,29,10,18,3.141621080961457,0.090625,4,1230106323040400000,0.17060719072250297
8,5500570000,9004008002,10,0.2,10,13,"{4: 1, 5: 1, 7: 1, 8: 2, 9: 1, 10: 1, 11: 2, 12: 1, 13: 1, 14: 2, 15: 1, 17: 1, 18: 1}",4,4,13,2,22,0.6666666666666666,0.4,5,9,506,65,3.4933283634790997,0.12845849802371542,48,13,19,3.4622475963059327,0.09486166007905138,9,44027646215501100000,0.8889593453250648
9,9074000000,3000300000,10,0.2,10,6,"{11: 1, 12: 1, 14: 1, 15: 1, 16: 1, 18: 1}",3,2,6,1,6,0.75,0.4,3,4,120,27,2.5128876215181606,0.225,10,6,19,2.5219280948873624,0.08333333333333333,3,20212021000000000000,0.742414223789582
10,8000000000,9000007007,10,0.2,10,3,"{9: 1, 12: 1, 18: 1}",1,3,3,1,3,1.0,0.3,0,9,184,72,1.574331785544523,0.391304347826087,17,3,19,1.5656531116458186,0.09239130434782608,1,70000050050000000000,0.9722221604321468
11,3000000007,6001000102,10,0.2,10,7,"{0: 1, 2: 1, 6: 1, 9: 2, 11: 1, 15: 1, 18: 1}",2,4,7,2,10,0.2,0.4,9,9,100,48,2.191330560949555,0.48,6,3,19,1.2516291673878228,0.06,1,10000000040000000010,0.5554629698769649
12,9000000000,8000000000,10,0.2,10,1,{18: 1},1,1,1,1,1,1.0,1.0,0,0,72,72,-0.0,1.0,7,1,19,-0.0,0.09722222222222222,1,70000000000000000000,0.9722222222222222
13,9700000000,2008000000,10,0.2,10,4,"{14: 1, 15: 1, 17: 1, 18: 1}",2,2,4,1,4,1.0,0.5,1,3,160,72,1.7106275031758598,0.45,14,4,19,1.5744174271404585,0.0875,2,11075000000000000000,0.5686018811352528
14,3000000027,2000000000,10,0.2,10,3,"{9: 1, 10: 1, 18: 1}",3,1,3,1,3,0.3,1.0,9,0,24,14,1.384431504340598,0.5833333333333334,1,1,10,-0.0,0.041666666666666664,1,10000000000,1.6666666516666667e-09
15,8000000700,3000000000,10,0.2,10,2,"{11: 1, 18: 1}",2,1,2,1,2,0.25,1.0,7,0,45,24,0.9967916319816366,0.5333333333333333,4,2,19,1.0,0.08888888888888889,1,20000002000000000000,0.8333333437499991
16,6000005000,5000000000,10,0.2,10,2,"{12: 1, 18: 1}",2,1,2,1,2,0.2857142857142857,1.0,6,0,55,30,0.9940302114769565,0.5454545454545454,5,2,19,0.9709505944546686,0.09090909090909091,1,30000020000000000000,0.9999998333334722
17,1000000030,7000000000,10,0.2,10,2,"{10: 1, 18: 1}",2,1,2,1,2,0.2222222222222222,1.0,8,0,28,21,0.8112781244591328,0.75,2,1,11,-0.0,0.07142857142857142,1,200000000000,2.857142771428574e-08
18,4900420000,9000000000,10,0.2,10,4,"{13: 1, 14: 1, 17: 1, 18: 1}",4,1,4,1,4,0.6666666666666666,1.0,5,0,171,81,1.799015670655122,0.47368421052631576,16,4,19,1.7028195311147831,0.0935672514619883,2,48003100000000000000,1.0884123764448308
19,8863000000,4000004400,10,0.2,10,9,"{8: 1, 9: 2, 10: 2, 11: 2, 12: 1, 15: 1, 16: 1, 17: 1, 18: 1}",4,3,9,2,18,1.0,0.375,3,7,300,64,2.9907941047566657,0.21333333333333335,27,9,19,2.971962854481334,0.09,5,33210036531000000000,0.9367595622249802
0,7234200579,8534304000,10,0.5,10,16,"{3: 1, 4: 1, 5: 2, 6: 2, 7: 3, 8: 4, 9: 4, 10: 4, 11: 4, 12: 4, 13: 4, 14: 5, 15: 4, 16: 3, 17: 2, 18: 1}",8,6,16,5,170,0.8,0.8571428571428571,9,6,1053,138,3.8901132947241206,0.13105413105413105,108,16,19,3.8817522521967245,0.10256410256410256,16,65687468250765330000,1.063956491403677
